claim_id_unique,claim_id_original,category,group_id,workshop,Batch
9xZY,9xZY,health related,tasmania125,AIMOS19,AIMOS19
AqDO,AqDO,health related,tasmania125,AIMOS19,AIMOS19
AqVY,AqVY,health related,tasmania125,AIMOS19,AIMOS19
jeLg,jeLg,health related,tasmania125,AIMOS19,AIMOS19
JK7Q,JK7Q,health related,tasmania125,AIMOS19,AIMOS19
keGz,keGz,health related,tasmania125,AIMOS19,AIMOS19
LZBG,LZBG,health related,tasmania125,AIMOS19,AIMOS19
OZOb,OZOb,health related,tasmania125,AIMOS19,AIMOS19
PQXd,PQXd,health related,tasmania125,AIMOS19,AIMOS19
QQ8V,QQ8V,health related,tasmania125,AIMOS19,AIMOS19
rrQ8,rrQ8,health related,tasmania125,AIMOS19,AIMOS19
VQlV,VQlV,health related,tasmania125,AIMOS19,AIMOS19
XeYp,XeYp,health related,tasmania125,AIMOS19,AIMOS19
1ZJD,1ZJD,sociology,tasmania39,AIMOS19,AIMOS19
1Zx7,1Zx7,sociology,tasmania39,AIMOS19,AIMOS19
3e5j,3e5j,sociology,tasmania39,AIMOS19,AIMOS19
4XNW,4XNW,sociology,tasmania39,AIMOS19,AIMOS19
74NZ,74NZ,health related,tasmania39,AIMOS19,AIMOS19
9rdy,9rdy,sociology,tasmania39,AIMOS19,AIMOS19
EvjP,EvjP,management,tasmania39,AIMOS19,AIMOS19
G8Vp,G8Vp,management,tasmania39,AIMOS19,AIMOS19
J1l2,J1l2,health related,tasmania39,AIMOS19,AIMOS19
ODEO,ODEO,sociology,tasmania39,AIMOS19,AIMOS19
VjeV,VjeV,sociology,tasmania39,AIMOS19,AIMOS19
Wb3N,Wb3N,management,tasmania39,AIMOS19,AIMOS19
0Wea,0Wea,education,tasmania47,AIMOS19,AIMOS19
1DAN,1DAN,education,tasmania47,AIMOS19,AIMOS19
BlQQ,BlQQ,education,tasmania47,AIMOS19,AIMOS19
DD2y,DD2y,education,tasmania47,AIMOS19,AIMOS19
DDGX,DDGX,education,tasmania47,AIMOS19,AIMOS19
GQeO,GQeO,education,tasmania47,AIMOS19,AIMOS19
KyjJ,KyjJ,education,tasmania47,AIMOS19,AIMOS19
RmaL,RmaL,education,tasmania47,AIMOS19,AIMOS19
VLxA,VLxA,education,tasmania47,AIMOS19,AIMOS19
VYee,VYee,education,tasmania47,AIMOS19,AIMOS19
01Ll,01Ll,psychology,tasmania57,AIMOS19,AIMOS19
24A5,24A5,psychology,tasmania57,AIMOS19,AIMOS19
4J1W,4J1W,psychology,tasmania57,AIMOS19,AIMOS19
7RR2,7RR2,psychology,tasmania57,AIMOS19,AIMOS19
BRAd,BRAd,psychology,tasmania57,AIMOS19,AIMOS19
KGGW,KGGW,psychology,tasmania57,AIMOS19,AIMOS19
kKd4,kKd4,psychology,tasmania57,AIMOS19,AIMOS19
RgKX,RgKX,psychology,tasmania57,AIMOS19,AIMOS19
VPk1,VPk1,psychology,tasmania57,AIMOS19,AIMOS19
XVvw,XVvw,psychology,tasmania57,AIMOS19,AIMOS19
ZeZJ,ZeZJ,psychology,tasmania57,AIMOS19,AIMOS19
zp9w,zp9w,psychology,tasmania57,AIMOS19,AIMOS19
vaWE,vaWE,economics,victoria106,AIMOS19,AIMOS19
5mxD,5mxD,economics,victoria106,AIMOS19,AIMOS19
7ybJ,7ybJ,economics,victoria106,AIMOS19,AIMOS19
ADNJ,ADNJ,economics,victoria106,AIMOS19,AIMOS19
dGB8,dGB8,economics,victoria106,AIMOS19,AIMOS19
dXOl,dXOl,economics,victoria106,AIMOS19,AIMOS19
JbYJ,JbYJ,economics,victoria106,AIMOS19,AIMOS19
Lekz,Lekz,economics,victoria106,AIMOS19,AIMOS19
PeLz,PeLz,economics,victoria106,AIMOS19,AIMOS19
ZDOL,ZDOL,economics,victoria106,AIMOS19,AIMOS19
0Yqb,0Yqb,psychology,victoria110,AIMOS19,AIMOS19
3Dla,3Dla,psychology,victoria110,AIMOS19,AIMOS19
3ROO,3ROO,psychology,victoria110,AIMOS19,AIMOS19
5EQD,5EQD,psychology,victoria110,AIMOS19,AIMOS19
BQEE,BQEE,psychology,victoria110,AIMOS19,AIMOS19
BRJX,BRJX,psychology,victoria110,AIMOS19,AIMOS19
dza2,dza2,psychology,victoria110,AIMOS19,AIMOS19
j1ZN,j1ZN,psychology,victoria110,AIMOS19,AIMOS19
K5BY,K5BY,psychology,victoria110,AIMOS19,AIMOS19
NXda,NXda,psychology,victoria110,AIMOS19,AIMOS19
Qg2l,Qg2l,psychology,victoria110,AIMOS19,AIMOS19
qjyQ,qjyQ,psychology,victoria110,AIMOS19,AIMOS19
waDp,waDp,psychology,victoria110,AIMOS19,AIMOS19
ZeqQ,ZeqQ,psychology,victoria110,AIMOS19,AIMOS19
2kpO,2kpO,health related,westernaustralia103,AIMOS19,AIMOS19
5jEw,5jEw,health related,westernaustralia103,AIMOS19,AIMOS19
8xm0,8xm0,health related,westernaustralia103,AIMOS19,AIMOS19
9xDX,9xDX,health related,westernaustralia103,AIMOS19,AIMOS19
dOdV,dOdV,health related,westernaustralia103,AIMOS19,AIMOS19
EaW3,EaW3,health related,westernaustralia103,AIMOS19,AIMOS19
gR3Q,gR3Q,health related,westernaustralia103,AIMOS19,AIMOS19
J1xJ,J1xJ,health related,westernaustralia103,AIMOS19,AIMOS19
mpRQ,mpRQ,health related,westernaustralia103,AIMOS19,AIMOS19
ZZJk,ZZJk,health related,westernaustralia103,AIMOS19,AIMOS19
0VDk,0VDk,management,westernaustralia20,AIMOS19,AIMOS19
BkGQ,BkGQ,public administration,westernaustralia20,AIMOS19,AIMOS19
g1JA,g1JA,psychology,westernaustralia20,AIMOS19,AIMOS19
JjG9,JjG9,management,westernaustralia20,AIMOS19,AIMOS19
LxK2,LxK2,management,westernaustralia20,AIMOS19,AIMOS19
Qd9Q,Qd9Q,public administration,westernaustralia20,AIMOS19,AIMOS19
Vkbm,Vkbm,management,westernaustralia20,AIMOS19,AIMOS19
vlBO,vlBO,management,westernaustralia20,AIMOS19,AIMOS19
VP9E,VP9E,management,westernaustralia20,AIMOS19,AIMOS19
x2gk,x2gk,management,westernaustralia20,AIMOS19,AIMOS19
x3Wk,x3Wk,management,westernaustralia20,AIMOS19,AIMOS19
YAXQ,YAXQ,management,westernaustralia20,AIMOS19,AIMOS19
YGLN,YGLN,management,westernaustralia20,AIMOS19,AIMOS19
zJx4,zJx4,management,westernaustralia20,AIMOS19,AIMOS19
0qar,0qar,psychology,westernaustralia41,AIMOS19,AIMOS19
52Dq,52Dq,psychology,westernaustralia41,AIMOS19,AIMOS19
7JrL,7JrL,psychology,westernaustralia41,AIMOS19,AIMOS19
8wkv,8wkv,psychology,westernaustralia41,AIMOS19,AIMOS19
BrBp,BrBp,psychology,westernaustralia41,AIMOS19,AIMOS19
DaKY,DaKY,psychology,westernaustralia41,AIMOS19,AIMOS19
dmLX,dmLX,psychology,westernaustralia41,AIMOS19,AIMOS19
dvbl,dvbl,psychology,westernaustralia41,AIMOS19,AIMOS19
jGGd,jGGd,psychology,westernaustralia41,AIMOS19,AIMOS19
PggJ,PggJ,psychology,westernaustralia41,AIMOS19,AIMOS19
Rb2b,Rb2b,psychology,westernaustralia41,AIMOS19,AIMOS19
YvAK,YvAK,psychology,westernaustralia41,AIMOS19,AIMOS19
yWW4,yWW4,psychology,westernaustralia41,AIMOS19,AIMOS19
Zqqa,Zqqa,psychology,westernaustralia41,AIMOS19,AIMOS19
3zya,3zya,political science,westernaustralia66,AIMOS19,AIMOS19
49zL,49zL,political science,westernaustralia66,AIMOS19,AIMOS19
72pJ,72pJ,political science,westernaustralia66,AIMOS19,AIMOS19
9wya,9wya,political science,westernaustralia66,AIMOS19,AIMOS19
9XrX,9XrX,political science,westernaustralia66,AIMOS19,AIMOS19
AX5j,AX5j,sociology,westernaustralia66,AIMOS19,AIMOS19
EV4N,EV4N,political science,westernaustralia66,AIMOS19,AIMOS19
g8X4,g8X4,sociology,westernaustralia66,AIMOS19,AIMOS19
Jxpy,Jxpy,criminology,westernaustralia66,AIMOS19,AIMOS19
LDwz,LDwz,sociology,westernaustralia66,AIMOS19,AIMOS19
pqzK,pqzK,sociology,westernaustralia66,AIMOS19,AIMOS19
9R2m,9R2m,psychology,queensland44,Bus,Bus
qGpb,qGpb,psychology,queensland44,Bus,Bus
yyyR,yyyR,psychology,queensland44,Bus,Bus
0Ov8,0Ov8,psychology,queensland46,Bus,Bus
5Ejl,5Ejl,psychology,queensland46,Bus,Bus
3qaZ,3qaZ,psychology,queensland59,Bus,Bus
7RD2,7RD2,psychology,queensland59,Bus,Bus
8R9d,8R9d,psychology,queensland59,Bus,Bus
B2KX,B2KX,psychology,queensland59,Bus,Bus
B8lX,B8lX,psychology,queensland59,Bus,Bus
gbl9,gbl9,psychology,queensland59,Bus,Bus
jGZK,jGZK,psychology,queensland59,Bus,Bus
K5KJ,K5KJ,psychology,queensland59,Bus,Bus
l8zy,l8zy,psychology,queensland59,Bus,Bus
LNYd,LNYd,psychology,queensland59,Bus,Bus
mBRj,mBRj,psychology,queensland59,Bus,Bus
mJJm,mJJm,psychology,queensland59,Bus,Bus
OXyO,OXyO,psychology,queensland59,Bus,Bus
pZdj,pZdj,psychology,queensland59,Bus,Bus
qjxZ,qjxZ,psychology,queensland59,Bus,Bus
v8Nx,v8Nx,psychology,queensland59,Bus,Bus
VeWE,VeWE,psychology,queensland59,Bus,Bus
VpzE,VpzE,psychology,queensland59,Bus,Bus
xQO3,xQO3,psychology,queensland59,Bus,Bus
zlBL,zlBL,psychology,queensland59,Bus,Bus
A999,A999,psychology,southaustralia127,Bus,Bus
BRVj,BRVj,psychology,southaustralia127,Bus,Bus
yN1Q,yN1Q,criminology,southaustralia127,Bus,Bus
0a2L,0a2L,marketing/org behavior,Unassigned,Unassigned,misc_after_march
0eb8,0eb8,economics,Unassigned,Unassigned,misc_after_march
1334,1334,sociology,Unassigned,Unassigned,misc_after_march
0xv2,0xv2,health related,,Unassigned,misc_after_march
17rB,17rB,health related,,Unassigned,misc_after_march
19L4,19L4,management,,Unassigned,misc_after_march
1DrD,1DrD,management,,Unassigned,misc_after_march
1EE0,1EE0,education,,Unassigned,misc_after_march
1k10,1k10,management,,Unassigned,misc_after_march
1WB7,1WB7,management,,Unassigned,misc_after_march
2PN7,2PN7,education,,Unassigned,misc_after_march
2WwR,2WwR,public administration,,Unassigned,misc_after_march
3zbW,3zbW,sociology,,Unassigned,misc_after_march
4jbV,4jbV,sociology,,Unassigned,misc_after_march
4pAB,4pAB,economics,,Unassigned,misc_after_march
51pD,51pD,marketing/org behavior,,Unassigned,misc_after_march
5d9x,5d9x,political science,,Unassigned,misc_after_march
5KrD,5KrD,management,,Unassigned,misc_after_march
5Kw3,5Kw3,sociology,,Unassigned,misc_after_march
5KYx,5KYx,sociology,,Unassigned,misc_after_march
5mgD,5mgD,economics,,Unassigned,misc_after_march
5Xaw,5Xaw,marketing/org behavior,,Unassigned,misc_after_march
7Ox9,7Ox9,education,,Unassigned,misc_after_march
7X54,7X54,sociology,,Unassigned,misc_after_march
8lZv,8lZv,sociology,,Unassigned,misc_after_march
8rv5,8rv5,management,,Unassigned,misc_after_march
8w97,8w97,marketing/org behavior,,Unassigned,misc_after_march
8WJX,8WJX,education,,Unassigned,misc_after_march
93Z4,93Z4,sociology,,Unassigned,misc_after_march
9lBL,9lBL,political science,,Unassigned,misc_after_march
9rxX,9rxX,sociology,,Unassigned,misc_after_march
A2lr,A2lr,management,,Unassigned,misc_after_march
a4GD,a4GD,management,,Unassigned,misc_after_march
AQeG,AQeG,political science,,Unassigned,misc_after_march
aVG3,aVG3,education,,Unassigned,misc_after_march
B2GE,B2GE,economics,,Unassigned,misc_after_march
BbVG,BbVG,economics,,Unassigned,misc_after_march
BlNQ,BlNQ,economics,,Unassigned,misc_after_march
Bm2E,Bm2E,psychology,,Unassigned,misc_after_march
by7E,by7E,management,,Unassigned,misc_after_march
bYxk,bYxk,management,,Unassigned,misc_after_march
d2O3,d2O3,criminology,,Unassigned,misc_after_march
D9Gy,D9Gy,health related,,Unassigned,misc_after_march
davJ,davJ,management,,Unassigned,misc_after_march
DBjN,DBjN,political science,,Unassigned,misc_after_march
dbZ8,dbZ8,management,,Unassigned,misc_after_march
DdkL,DdkL,political science,,Unassigned,misc_after_march
dJrX,dJrX,education,,Unassigned,misc_after_march
DkzY,DkzY,economics,,Unassigned,misc_after_march
dmqV,dmqV,criminology,,Unassigned,misc_after_march
dNNp,dNNp,management,,Unassigned,misc_after_march
E05N,E05N,marketing/org behavior,,Unassigned,misc_after_march
E0by,E0by,marketing/org behavior,,Unassigned,misc_after_march
E1KN,E1KN,public administration,,Unassigned,misc_after_march
e1VK,e1VK,marketing/org behavior,,Unassigned,misc_after_march
ezVq,ezVq,economics,,Unassigned,misc_after_march
g00Q,g00Q,education,,Unassigned,misc_after_march
G0Kb,G0Kb,political science,,Unassigned,misc_after_march
G0mr,G0mr,political science,,Unassigned,misc_after_march
G58j,G58j,education,,Unassigned,misc_after_march
GQbj,GQbj,management,,Unassigned,misc_after_march
gYpO,gYpO,management,,Unassigned,misc_after_march
Jblv,Jblv,economics,,Unassigned,misc_after_march
jD94,jD94,sociology,,Unassigned,misc_after_march
JWWB,JWWB,management,,Unassigned,misc_after_march
JxXe,JxXe,criminology,,Unassigned,misc_after_march
Kp4W,Kp4W,sociology,,Unassigned,misc_after_march
KpNx,KpNx,sociology,,Unassigned,misc_after_march
KvBd,KvBd,psychology,,Unassigned,misc_after_march
KxZl,KxZl,criminology,,Unassigned,misc_after_march
lkxZ,lkxZ,criminology,,Unassigned,misc_after_march
lr32,lr32,public administration,,Unassigned,misc_after_march
lY82,lY82,sociology,,Unassigned,misc_after_march
Nv99,Nv99,political science,,Unassigned,misc_after_march
OyEd,OyEd,management,,Unassigned,misc_after_march
P8mJ,P8mJ,marketing/org behavior,,Unassigned,misc_after_march
P8OJ,P8OJ,marketing/org behavior,,Unassigned,misc_after_march
P8pw,P8pw,sociology,,Unassigned,misc_after_march
Pazr,Pazr,management,,Unassigned,misc_after_march
PD2z,PD2z,sociology,,Unassigned,misc_after_march
PDRY,PDRY,education,,Unassigned,misc_after_march
PeVZ,PeVZ,sociology,,Unassigned,misc_after_march
PjBY,PjBY,management,,Unassigned,misc_after_march
PP5K,PP5K,political science,,Unassigned,misc_after_march
PraJ,PraJ,sociology,,Unassigned,misc_after_march
PVOK,PVOK,economics,,Unassigned,misc_after_march
QAQV,QAQV,economics,,Unassigned,misc_after_march
QLJq,QLJq,management,,Unassigned,misc_after_march
qLyz,qLyz,health related,,Unassigned,misc_after_march
QPka,QPka,political science,,Unassigned,misc_after_march
QPRd,QPRd,political science,,Unassigned,misc_after_march
qX97,qX97,sociology,,Unassigned,misc_after_march
QYrP,QYrP,political science,,Unassigned,misc_after_march
r34E,r34E,management,,Unassigned,misc_after_march
RBe9,RBe9,political science,,Unassigned,misc_after_march
RBKb,RBKb,political science,,Unassigned,misc_after_march
rD1G,rD1G,economics,,Unassigned,misc_after_march
rGOR,rGOR,management,,Unassigned,misc_after_march
Rjp9,Rjp9,political science,,Unassigned,misc_after_march
Rjpb,Rjpb,political science,,Unassigned,misc_after_march
RjXk,RjXk,marketing/org behavior,,Unassigned,misc_after_march
RlQL,RlQL,economics,,Unassigned,misc_after_march
Rmlp,Rmlp,economics,,Unassigned,misc_after_march
RmRb,RmRb,political science,,Unassigned,misc_after_march
RVmv,RVmv,political science,,Unassigned,misc_after_march
RXJX,RXJX,economics,,Unassigned,misc_after_march
RYKv,RYKv,political science,,Unassigned,misc_after_march
RyL7,RyL7,political science,,Unassigned,misc_after_march
V53E,V53E,health related,,Unassigned,misc_after_march
v9lE,v9lE,education,,Unassigned,misc_after_march
VB9K,VB9K,economics,,Unassigned,misc_after_march
VLVA,VLVA,economics,,Unassigned,misc_after_march
VLz1,VLz1,economics,,Unassigned,misc_after_march
Vx5X,Vx5X,political science,,Unassigned,misc_after_march
VX9p,VX9p,sociology,,Unassigned,misc_after_march
W0ew,W0ew,political science,,Unassigned,misc_after_march
W4GZ,W4GZ,political science,,Unassigned,misc_after_march
W7Pe,W7Pe,marketing/org behavior,,Unassigned,misc_after_march
wE9G,wE9G,sociology,,Unassigned,misc_after_march
WlYz,WlYz,public administration,,Unassigned,misc_after_march
WNE2,WNE2,political science,,Unassigned,misc_after_march
WNk2,WNk2,political science,,Unassigned,misc_after_march
wRvv,wRvv,political science,,Unassigned,misc_after_march
WV9e,WV9e,political science,,Unassigned,misc_after_march
WVWe,WVWe,political science,,Unassigned,misc_after_march
WWOp,WWOp,management,,Unassigned,misc_after_march
WWQX,WWQX,management,,Unassigned,misc_after_march
X0bw,X0bw,political science,,Unassigned,misc_after_march
X0Yz,X0Yz,political science,,Unassigned,misc_after_march
X0ZY,X0ZY,political science,,Unassigned,misc_after_march
X43Q,X43Q,economics,,Unassigned,misc_after_march
X47z,X47z,political science,,Unassigned,misc_after_march
xGGO,xGGO,sociology,,Unassigned,misc_after_march
xLAj,xLAj,public administration,,Unassigned,misc_after_march
xlbP,xlbP,marketing/org behavior,,Unassigned,misc_after_march
XXP8,XXP8,public administration,,Unassigned,misc_after_march
XY2z,XY2z,education,,Unassigned,misc_after_march
XYdw,XYdw,sociology,,Unassigned,misc_after_march
y73m,y73m,economics,,Unassigned,misc_after_march
YDOZ,YDOZ,sociology,,Unassigned,misc_after_march
YqBQ,YqBQ,psychology,,Unassigned,misc_after_march
Z2vK,Z2vK,management,,Unassigned,misc_after_march
zG9O,zG9O,management,,Unassigned,misc_after_march
01Wk,01Wk,political science,Unassigned,Unassigned,misc_before_march
0P4r,0P4r,political science,Unassigned,Unassigned,misc_before_march
Bx8x,Bx8x,political science,Unassigned,Unassigned,misc_before_march
bXqQ,bXqQ,psychology,Unassigned,Unassigned,misc_before_march
Bbbx,Bbbx,political science,,Unassigned,misc_before_march
0v9a,0v9a,political science,,Unassigned,misc_before_march
0Wlb,0Wlb,education,,Unassigned,misc_before_march
12pD,12pD,psychology,,Unassigned,misc_before_march
1B20,1B20,political science,,Unassigned,misc_before_march
1B5E,1B5E,political science,,Unassigned,misc_before_march
1bk4,1bk4,criminology,,Unassigned,misc_before_march
1DLv,1DLv,management,,Unassigned,misc_before_march
2bGO,2bGO,criminology,,Unassigned,misc_before_march
2eLQ,2eLQ,political science,,Unassigned,misc_before_march
2vG4,2vG4,economics,,Unassigned,misc_before_march
2vwk,2vwk,economics,,Unassigned,misc_before_march
3A4w,3A4w,political science,,Unassigned,misc_before_march
3AaY,3AaY,political science,,Unassigned,misc_before_march
3gJZ,3gJZ,education,,Unassigned,misc_before_march
3KBG,3KBG,criminology,,Unassigned,misc_before_march
3r5G,3r5G,political science,,Unassigned,misc_before_march
3vmd,3vmd,management,,Unassigned,misc_before_march
3WLd,3WLd,political science,,Unassigned,misc_before_march
58X3,58X3,marketing/org behavior,,Unassigned,misc_before_march
5d8x,5d8x,political science,,Unassigned,misc_before_march
5dL3,5dL3,political science,,Unassigned,misc_before_march
5E5E,5E5E,public administration,,Unassigned,misc_before_march
5jQE,5jQE,health related,,Unassigned,misc_before_march
5K02,5K02,management,,Unassigned,misc_before_march
5KEz,5KEz,education,,Unassigned,misc_before_march
5QWz,5QWz,political science,,Unassigned,misc_before_march
5rQm,5rQm,psychology,,Unassigned,misc_before_march
5RVm,5RVm,economics,,Unassigned,misc_before_march
5vqE,5vqE,economics,,Unassigned,misc_before_march
5X43,5X43,political science,,Unassigned,misc_before_march
5zll,5zll,political science,,Unassigned,misc_before_march
7kB1,7kB1,economics,,Unassigned,misc_before_march
7O9P,7O9P,political science,,Unassigned,misc_before_march
7QEp,7QEp,political science,,Unassigned,misc_before_march
7QYp,7QYp,political science,,Unassigned,misc_before_march
7REZ,7REZ,psychology,,Unassigned,misc_before_march
7wGP,7wGP,economics,,Unassigned,misc_before_march
7XwG,7XwG,political science,,Unassigned,misc_before_march
88NW,88NW,marketing/org behavior,,Unassigned,misc_before_march
8rQR,8rQR,sociology,,Unassigned,misc_before_march
8VXd,8VXd,economics,,Unassigned,misc_before_march
93Aq,93Aq,education,,Unassigned,misc_before_march
99aq,99aq,political science,,Unassigned,misc_before_march
9aAq,9aAq,criminology,,Unassigned,misc_before_march
9aZ4,9aZ4,marketing/org behavior,,Unassigned,misc_before_march
9KRZ,9KRZ,management,,Unassigned,misc_before_march
9l2a,9l2a,political science,,Unassigned,misc_before_march
9RYZ,9RYZ,psychology,,Unassigned,misc_before_march
9w2m,9w2m,economics,,Unassigned,misc_before_march
9wkl,9wkl,economics,,Unassigned,misc_before_march
9X74,9X74,political science,,Unassigned,misc_before_march
A5Zj,A5Zj,health related,,Unassigned,misc_before_march
Aa7J,Aa7J,economics,,Unassigned,misc_before_march
ABYJ,ABYJ,political science,,Unassigned,misc_before_march
aDdR,aDdR,sociology,,Unassigned,misc_before_march
AE7N,AE7N,sociology,,Unassigned,misc_before_march
AEqz,AEqz,management,,Unassigned,misc_before_march
AG7r,AG7r,economics,,Unassigned,misc_before_march
AGjO,AGjO,economics,,Unassigned,misc_before_march
